protected_idx,original_idx,similarity,protected_id,original_id,confidence,ml_match_probability,ml_refined,distance_refined,refinement_skipped,refinement_distance,refinement_reason
15503,3672,0.9980142831565777,715b8a01d971dbe517379e585e06f80c,3672,high,1.0,False,False,True,,High confidence
7678,15691,0.9980136718912114,f31ef69ac69fab16c4140c724603cf42,15691,high,1.0,False,False,True,,High confidence
13192,7868,0.9980110101795812,ff9f48668d6b51ee7fb3a7e8c16c3026,7868,high,1.0,False,False,True,,High confidence
16115,650,0.9980091090318257,a3dc831fba4074743a7cfc8dc29da48a,650,high,1.0,False,False,True,,High confidence
5913,6180,0.9980075176592602,0f9ca25173c2e6a902781b0a936cbbc8,6180,high,1.0,False,False,True,,High confidence
9660,7028,0.9980062771647485,8000a5cf202ea056761ed7e44c95a529,7028,high,1.0,False,False,True,,High confidence
8478,19701,0.998004345564097,3ca0798d8e814675d7232d53ff294af8,19701,high,1.0,False,False,True,,High confidence
2734,12733,0.9980025143551929,dd9db35a96373575e2c2aa671eab605b,12733,high,1.0,False,False,True,,High confidence
12437,8089,0.9980023603623634,0023b3fffacad7752ac0254f9dd71451,8089,high,1.0,False,False,True,,High confidence
4339,6390,0.9980008071049005,22ec35fa4463025242a7be1fa3619b70,6390,high,1.0,False,False,True,,High confidence
3129,10299,0.9979997562132664,802ca6ca5f51243078681dbced8f65a4,10299,high,1.0,False,False,True,,High confidence
16774,16589,0.997997772162993,06f1b7e12bf1c76e60e480e549abebbe,16589,high,1.0,False,False,True,,High confidence
6053,13833,0.997994061275157,f1bac5a1baa274cee81bef60c17a83a9,13833,high,1.0,False,False,True,,High confidence
14834,11085,0.9979940203690846,572d8e3e1e0c762d0d8e00dab8564d90,11085,high,1.0,False,False,True,,High confidence
15046,1404,0.9979918123682088,7d1603aad1695e208b19a820fd494549,1404,high,1.0,False,False,True,,High confidence
2281,2781,0.9979909578275282,0d2c76c122c17df6076d395f8bf1ae99,2781,high,1.0,False,False,True,,High confidence
11934,10661,0.9979908225406612,17fd639116357650189b9f9f5e14797b,10661,high,1.0,False,False,True,,High confidence
8713,7790,0.9979892543335085,774c707670851305e69be83c969799a9,7790,high,1.0,False,False,True,,High confidence
3949,2589,0.997986803557477,44fd124aa6e9d6a410ec670c003fae79,2589,high,1.0,False,False,True,,High confidence
1024,9059,0.9979863425130489,768f39b413790934bdf9e77ded3ce298,9059,high,1.0,False,False,True,,High confidence
9067,16904,0.9979859276909984,1c85be2720f1c786196901181a29636e,16904,high,1.0,False,False,True,,High confidence
13038,13890,0.9979846698061121,d293f1c5afa1e6bb76b1dd50a1e3fc37,13890,high,1.0,False,False,True,,High confidence
10195,15969,0.9979842714838538,3374d23ac92e85c3b4fd28ea579bea07,15969,high,1.0,False,False,True,,High confidence
18367,1939,0.9979838803445295,b7217354f90c74fc5848a3aa31aa446a,1939,high,1.0,False,False,True,,High confidence
11323,17472,0.9979803056613344,9617dee8da41fc4e637032f348d21f6f,17472,high,1.0,False,False,True,,High confidence
8321,582,0.9979788660144071,f0e475378004ee27ab9a059469579ba2,582,high,1.0,False,False,True,,High confidence
4944,578,0.9979787141437274,2e9159ddd8a0a5ff408f6e25383f5095,578,high,1.0,False,False,True,,High confidence
19683,7560,0.9979786062147007,1a5d78c6e9bef259268b4a14e674f896,7560,high,1.0,False,False,True,,High confidence
3527,15256,0.997969431883333,66fd63949803bf491b09e3b1adaee8d1,15256,high,1.0,False,False,True,,High confidence
15175,17501,0.9979692763383727,fd7c7d190cedcea9ee78d4b571859072,17501,high,1.0,False,False,True,,High confidence
